timestamp,pitch_deg,roll_deg,yaw_deg
0.14871454238891602,1.58,1.48,-0.86
0.35349607467651367,1.62,1.6,-0.84
0.5570826530456543,1.6,1.36,-0.88
0.7565953731536865,1.48,1.29,-0.91
0.9681844711303711,1.52,1.44,-0.84
1.1766629219055176,1.53,1.69,-0.94
1.3820114135742188,1.5,1.85,-0.91
1.580885410308838,1.55,1.88,-0.97
1.6408154964447021,1.56,1.91,-0.98
1.9997284412384033,1.52,1.91,-0.93
2.1952414512634277,1.49,1.9,-0.94
2.4280896186828613,1.53,1.91,-0.98
2.605501413345337,1.51,1.87,-1.0
2.6609408855438232,1.52,1.86,-1.0
3.0326318740844727,1.54,1.87,-1.0
3.2190825939178467,1.53,1.86,-1.0
3.4283549785614014,6.18,1.92,-0.83
3.6278440952301025,11.66,1.98,-0.66
3.799345016479492,17.39,1.98,-0.48
4.040399789810181,23.78,1.99,-0.32
4.24891471862793,29.6,1.94,-0.11
4.460305452346802,35.58,1.91,0.03
4.659864664077759,41.39,1.84,0.2
4.700814247131348,47.3,1.75,0.36
5.062671422958374,53.2,1.62,0.48
5.100356340408325,59.09,1.52,0.69
5.473125457763672,65.58,1.38,0.86
5.499244451522827,71.44,1.27,1.0
5.88083815574646,77.95,1.12,1.14
5.921271085739136,83.86,0.93,1.27
6.300267934799194,89.7,0.77,1.3
6.496382474899292,91.46,0.73,1.32
6.540483236312866,91.46,0.74,1.34
6.82188868522644,91.46,0.75,1.34
7.12179160118103,91.46,0.75,1.34
7.141586065292358,91.45,0.75,1.34
7.5213000774383545,91.46,0.75,1.34
7.56119966506958,91.27,0.87,1.41
7.840730905532837,91.42,0.63,1.39
8.134608030319214,91.44,0.4,1.31
8.339295148849487,91.39,0.36,1.34
8.380373239517212,91.42,0.47,1.35
8.76092267036438,91.4,0.55,1.3
8.83543348312378,91.45,0.46,1.31
9.160577297210693,91.36,0.45,1.29
9.200350761413574,91.53,0.44,1.34
9.5803964138031,91.53,0.44,1.33
9.781839609146118,91.52,0.43,1.37
9.84462571144104,91.51,0.42,1.4
10.021138191223145,91.51,0.41,1.4
10.220659494400024,91.51,0.41,1.4
10.591152429580688,95.8,0.29,1.42
10.796316862106323,101.83,0.05,1.45
10.861780643463135,108.18,-0.14,1.39
11.208091259002686,114.07,-0.36,1.31
11.415774822235107,119.93,-0.52,1.27
11.614824295043945,125.83,-0.74,1.17
11.660080671310425,131.6,-0.89,1.09
11.860244989395142,137.62,-1.05,0.99
12.061092376708984,143.53,-1.19,0.88
12.436166763305664,150.03,-1.33,0.67
12.480779886245728,155.95,-1.5,0.52
12.681058406829834,161.8,-1.56,0.35
12.881624221801758,168.31,-1.65,0.2
13.25695538520813,174.18,-1.7,-0.01
13.461521863937378,-179.89,-1.73,-0.22
13.500623941421509,-178.65,-1.74,-0.24
13.902767658233643,-178.64,-1.73,-0.23
13.920881271362305,-178.63,-1.73,-0.23
14.101696491241455,-178.63,-1.73,-0.23
14.483136177062988,-178.63,-1.73,-0.23
14.520734548568726,-178.54,-1.68,-0.2
14.883469104766846,-178.79,-1.68,-0.25
15.100226640701294,-178.66,-1.81,-0.28
15.1411612033844,-178.7,-1.7,-0.25
15.50822377204895,-178.71,-1.41,-0.22
15.71332836151123,-178.69,-1.26,-0.27
15.741821765899658,-178.69,-1.29,-0.28
16.1227068901062,-178.72,-1.31,-0.28
16.141309022903442,-178.72,-1.33,-0.29
16.531210899353027,-178.75,-1.29,-0.24
16.55926823616028,-178.79,-1.29,-0.23
16.762324571609497,-178.79,-1.28,-0.23
17.159158945083618,-178.79,-1.29,-0.23
17.181286573410034,-178.79,-1.28,-0.22
17.380240440368652,-175.45,-1.28,-0.33
17.583433389663696,-170.19,-1.33,-0.48
17.78040361404419,-164.43,-1.35,-0.64
17.980610609054565,-158.67,-1.35,-0.81
18.171911239624023,-152.78,-1.29,-1.03
18.578601121902466,-146.9,-1.28,-1.16
18.580087661743164,-141.05,-1.21,-1.32
18.80105233192444,-134.57,-1.1,-1.47
19.001638174057007,-128.67,-0.97,-1.58
19.20083475112915,-122.18,-0.84,-1.72
19.40294599533081,-116.23,-0.72,-1.78
19.604959726333618,-110.45,-0.58,-1.87
19.810643434524536,-104.58,-0.43,-1.95
20.02359652519226,-98.67,-0.34,-2.01
20.22019386291504,-92.78,-0.16,-2.06
20.42631459236145,-88.85,-0.07,-2.05
20.640446662902832,-88.87,-0.08,-2.05
20.841566562652588,-88.88,-0.08,-2.06
21.042219638824463,-88.88,-0.08,-2.07
21.439257621765137,-88.88,-0.08,-2.07
21.440298557281494,-88.88,-0.08,-2.06
21.6612651348114,-88.86,0.02,-2.02
21.858184337615967,-88.92,-0.24,-2.01
22.07963252067566,-88.91,-0.42,-2.17
22.267534017562866,-88.97,-0.25,-2.14
22.480852603912354,-88.93,-0.12,-2.13
22.677090406417847,-88.92,0.01,-2.06
22.882787704467773,-88.92,-0.16,-2.11
23.101797819137573,-88.96,-0.28,-2.1
23.499661922454834,-88.91,-0.39,-2.1
23.50065588951111,-89.05,-0.42,-2.11
23.90580725669861,-89.05,-0.48,-2.14
23.921077728271484,-89.05,-0.49,-2.1
24.121575117111206,-89.04,-0.5,-2.11
24.321375131607056,-89.04,-0.51,-2.09
24.53233289718628,-89.04,-0.51,-2.09
24.740968227386475,-86.59,-0.47,-2.07
24.929656505584717,-81.44,-0.31,-2.06
25.135191440582275,-75.84,-0.17,-2.09
25.33870506286621,-69.95,-0.02,-2.16
25.543626308441162,-64.17,0.15,-2.11
25.748794555664062,-57.69,0.37,-2.09
25.953869342803955,-51.79,0.53,-2.02
26.161376953125,-45.91,0.69,-2.01
26.380278825759888,-40.02,0.89,-1.93
26.569066524505615,-34.11,1.04,-1.83
26.97802186012268,-28.21,1.17,-1.78
26.97901177406311,-21.8,1.31,-1.6
27.182894706726074,-15.87,1.42,-1.5
27.38850688934326,-9.98,1.52,-1.39
27.592631816864014,-4.07,1.58,-1.25
27.800750017166138,0.67,1.62,-1.13
28.011778354644775,0.65,1.63,-1.12
28.207733392715454,0.65,1.63,-1.11
28.42057728767395,0.65,1.62,-1.11
28.62118124961853,0.65,1.63,-1.11
