timestamp,yaw_deg,pitch_deg,roll_deg
0.13129615783691406,0.09,1.11,-0.5
0.342440128326416,0.16,0.9,-0.48
0.5317244529724121,0.18,0.95,-0.55
0.742058515548706,0.13,0.98,-0.55
0.9501116275787354,0.13,0.98,-0.63
1.151172399520874,0.09,1.0,-0.55
1.3590121269226074,0.15,1.08,-0.6
1.555556058883667,0.15,1.04,-0.62
1.7629849910736084,0.13,1.09,-0.6
1.9823896884918213,0.16,1.14,-0.63
2.1830151081085205,0.17,1.15,-0.6
2.372042655944824,0.13,1.16,-0.6
2.5850448608398438,0.14,1.17,-0.57
2.7787091732025146,0.15,1.17,-0.59
2.983424425125122,2.94,1.18,-0.48
3.1687161922454834,8.18,1.17,-0.4
3.380716323852539,13.83,1.13,-0.29
3.5800113677978516,19.65,1.09,-0.19
3.7718772888183594,25.5,0.99,-0.1
3.982384204864502,31.26,0.97,0.03
4.200714111328125,37.21,0.89,0.15
4.392617464065552,42.99,0.83,0.24
4.589984893798828,48.89,0.73,0.34
4.79577374458313,54.76,0.65,0.43
5.001002311706543,60.63,0.55,0.56
5.211430549621582,66.48,0.43,0.59
5.411723375320435,72.25,0.32,0.65
5.648475408554077,79.6,0.18,0.66
5.829843044281006,85.44,0.04,0.71
6.047807455062866,89.59,-0.01,0.7
6.262053728103638,89.51,-0.01,0.74
6.460143089294434,89.49,-0.01,0.77
6.6474668979644775,89.48,-0.01,0.78
6.855565309524536,89.48,-0.01,0.78
7.053796052932739,89.48,0.09,0.82
7.253726243972778,89.55,-0.14,0.87
7.4483301639556885,89.48,-0.08,0.83
7.656657695770264,89.42,-0.05,0.77
7.861790657043457,89.38,-0.07,0.78
8.075324296951294,89.44,0.08,0.76
8.270828247070312,89.44,0.19,0.74
8.482402324676514,89.44,0.18,0.69
8.700629234313965,89.46,0.14,0.71
8.898550271987915,89.44,0.14,0.71
9.10058307647705,89.54,0.13,0.71
9.293617248535156,89.54,0.13,0.74
9.494790315628052,89.55,0.13,0.73
9.721095085144043,89.55,0.14,0.73
9.917982578277588,93.34,0.07,0.72
10.11960244178772,98.82,-0.06,0.72
10.34018325805664,105.92,-0.2,0.68
10.5412278175354,111.84,-0.32,0.63
10.735188722610474,117.7,-0.45,0.61
10.930989027023315,123.5,-0.59,0.57
11.15252423286438,129.38,-0.67,0.5
11.362581968307495,135.23,-0.75,0.43
11.554514646530151,141.09,-0.8,0.33
11.761051893234253,146.95,-0.87,0.25
11.952162265777588,152.84,-0.94,0.14
12.169545650482178,158.8,-0.99,0.05
12.3814058303833,166.13,-1.05,-0.13
12.595049381256104,172.0,-1.11,-0.28
12.796706676483154,177.92,-1.12,-0.47
13.003045558929443,178.57,-1.1,-0.47
13.195839881896973,178.57,-1.1,-0.46
13.402388572692871,178.56,-1.1,-0.44
13.600040674209595,178.56,-1.1,-0.44
13.815242528915405,178.56,-1.1,-0.44
14.017475605010986,178.69,-0.96,-0.39
14.211220741271973,178.43,-1.14,-0.42
14.418598651885986,178.49,-1.24,-0.42
14.62253212928772,178.47,-1.22,-0.46
14.834672212600708,178.48,-1.08,-0.5
15.040889978408813,178.48,-0.92,-0.4
15.237194538116455,178.52,-1.06,-0.37
15.43612551689148,178.56,-1.04,-0.46
15.637047290802002,178.66,-1.06,-0.4
15.829072713851929,178.67,-1.08,-0.43
16.062554121017456,178.76,-1.08,-0.46
16.249245643615723,178.76,-1.08,-0.49
16.457515716552734,178.75,-1.11,-0.48
16.65462827682495,178.75,-1.11,-0.46
16.852543592453003,-176.64,-1.15,-0.55
17.073092460632324,-171.19,-1.15,-0.59
17.275715589523315,-165.5,-1.13,-0.75
17.48268747329712,-159.66,-1.1,-0.92
17.67423367500305,-152.41,-1.01,-1.04
17.873335599899292,-146.51,-0.98,-1.18
18.07831907272339,-140.64,-0.89,-1.29
18.274799346923828,-134.79,-0.81,-1.37
18.482600927352905,-128.92,-0.73,-1.49
18.695578813552856,-123.08,-0.62,-1.6
18.898932456970215,-117.12,-0.5,-1.68
19.103424787521362,-111.22,-0.38,-1.78
19.29532790184021,-105.32,-0.26,-1.85
19.50136661529541,-99.57,-0.13,-1.94
19.723896503448486,-93.64,-0.05,-1.96
19.911452531814575,-91.84,0.02,-1.97
20.111705780029297,-91.85,0.0,-1.97
20.32286286354065,-91.86,-0.01,-1.97
20.508930683135986,-91.86,-0.01,-1.97
20.732831239700317,-91.86,-0.01,-1.97
20.937484741210938,-91.52,0.06,-1.83
21.143527030944824,-92.08,0.03,-1.86
21.33739447593689,-92.0,-0.12,-1.91
21.54024648666382,-91.89,-0.05,-1.87
21.732463121414185,-91.94,0.18,-1.91
21.936879634857178,-91.92,0.28,-1.91
22.14279341697693,-91.97,0.27,-1.93
22.336700201034546,-91.88,0.17,-1.9
22.55770492553711,-91.96,0.2,-1.95
22.749730825424194,-91.9,0.2,-1.97
22.95832133293152,-91.85,0.2,-2.01
23.15408205986023,-91.87,0.21,-1.99
23.371758460998535,-91.88,0.22,-1.98
23.57025456428528,-91.88,0.21,-1.98
23.77775549888611,-88.66,0.31,-1.94
23.969913244247437,-83.48,0.45,-1.85
24.17661952972412,-77.87,0.6,-1.8
24.367836713790894,-72.06,0.73,-1.73
24.5818350315094,-66.22,0.87,-1.67
24.78097915649414,-60.3,1.0,-1.59
24.982513666152954,-54.45,1.13,-1.53
25.180067777633667,-48.56,1.27,-1.46
25.371121644973755,-42.7,1.35,-1.31
25.60274338722229,-36.74,1.43,-1.25
25.79855704307556,-30.88,1.48,-1.1
25.997612714767456,-24.99,1.52,-1.0
26.199522018432617,-19.09,1.56,-0.89
26.388344764709473,-13.2,1.59,-0.74
26.621185541152954,-7.3,1.64,-0.58
26.822070360183716,-2.66,1.65,-0.45
27.012672901153564,-2.68,1.66,-0.43
27.218748807907104,-2.68,1.67,-0.43
27.41686987876892,-2.67,1.67,-0.43
27.64116096496582,-2.68,1.67,-0.43
