timestamp,acc_x_g,acc_y_g,acc_z_g
0.1474640369415283,0.21675,0.00608,-1.01743
0.3582005500793457,-0.17058,0.03615,-1.03028
0.5475890636444092,0.09719,-0.02041,-1.01468
0.755669116973877,0.11918,-0.02607,-1.03354
0.9829938411712646,-0.05357,0.02605,-0.98942
1.1837539672851562,-0.07866,-0.00806,-0.98935
1.3758599758148191,0.04174,-0.00928,-1.03701
1.571606159210205,-0.06449,0.01419,-1.01119
1.7793171405792236,-0.03301,-0.00888,-1.02256
2.0031368732452397,-0.02179,-0.00385,-1.01978
2.1949617862701416,-0.02026,0.00264,-1.01881
2.4030871391296387,-0.02846,0.0025,-1.01548
2.601163625717163,-0.01447,0.00717,-1.01488
2.811187028884888,-0.00284,0.00621,-1.01486
2.9932217597961426,0.05883,0.04655,-1.0174
3.2005903720855717,0.00898,-0.01435,-1.0165
3.39658522605896,0.0051,0.00943,-1.02311
3.595911026000977,0.01593,-4e-05,-1.01031
3.7876734733581534,-0.02529,-0.00694,-1.01597
3.9924514293670654,0.03109,0.031,-1.0138
4.216601371765137,-0.0125,-0.01303,-1.02358
4.42113471031189,0.00261,-0.01988,-1.00132
4.621356725692749,-0.00221,-0.03551,-1.00513
4.811816692352295,0.0082,0.00346,-1.01722
5.034502267837524,0.00838,-0.01541,-1.01194
5.253140211105347,-0.01348,-0.01328,-1.02499
5.43999981880188,0.02512,0.01654,-1.01551
5.648475408554077,-0.00045,0.00487,-1.01746
5.861688137054443,0.01358,0.01213,-1.0129
6.083627700805664,0.00329,0.0145,-1.00775
6.273793458938599,-0.00207,0.00621,-1.01699
6.4758124351501465,-0.00183,-0.00135,-1.01709
6.679582118988037,-0.00486,-0.00226,-1.01533
6.880129098892212,-0.0027,-0.00079,-1.01589
7.085677146911621,-0.00245,-0.00032,-1.01878
7.269980430603027,0.24404,-0.0109,-1.02057
7.48269510269165,0.07982,-0.02202,-1.01535
7.677657604217529,-0.14035,0.00742,-1.02363
7.879898548126221,-0.04834,-0.04044,-0.99119
8.091384649276733,0.11306,0.02064,-1.01496
8.302422046661377,0.05209,0.00714,-1.02546
8.49290132522583,-0.0837,-0.01067,-1.01024
8.72516942024231,-0.03693,-0.00875,-1.0265
8.914597511291504,-0.02227,0.0034,-1.01032
9.116600513458252,-0.00879,-0.00697,-1.01386
9.309271812438965,-0.0128,0.00327,-1.01517
9.530606031417848,-0.00679,-0.00095,-1.01612
9.740386724472046,-0.01743,-0.04162,-1.00832
9.93407416343689,0.00656,-0.02532,-1.01835
10.131372451782228,-0.0155,-0.01454,-1.01691
10.350154638290403,0.01151,0.05098,-1.01884
10.557354927062988,0.00769,-0.01037,-1.01497
10.749952793121338,0.00545,0.04302,-1.03033
10.963115692138672,-0.01864,-0.04356,-1.01701
11.183990716934204,-0.00182,0.0052,-1.01316
11.38294243812561,-0.00413,-0.00211,-1.0183
11.570886850357056,-0.00412,-0.01035,-1.02237
11.777257442474363,-0.01449,0.0022,-1.01421
11.967844247817991,-0.00592,-0.00392,-1.01178
12.20096230506897,0.00858,0.01617,-1.01641
12.405645847320557,-0.00756,0.00308,-1.01598
12.610750436782835,-0.00369,0.00704,-1.02262
12.815908908843994,-0.02702,-0.01259,-1.01324
13.019002914428713,-0.0072,-0.00271,-1.01794
13.211711168289185,-0.01103,0.00268,-1.01801
13.421117067337036,-0.00874,0.00478,-1.01514
13.62091612815857,-0.01408,0.00346,-1.01641
13.835190773010254,-0.01687,0.00331,-1.01759
14.030796766281128,0.25047,-0.00113,-1.01376
14.24266767501831,-0.19521,0.00411,-1.01879
14.43065881729126,-0.05861,0.01357,-1.01677
14.639791011810305,0.13585,-0.0125,-1.01441
14.861566543579102,0.01709,-0.00603,-0.97903
15.057002782821655,-0.12747,-0.03624,-1.02456
15.253203630447388,-0.03826,-0.01287,-1.03185
15.452073335647585,-0.00278,0.0364,-1.00979
15.653248071670532,-0.15325,-0.01182,-1.02104
15.860844135284424,-0.02423,0.00032,-1.01049
16.078343629837036,-0.01355,0.00752,-1.01096
16.28131651878357,-0.02389,0.00045,-1.01764
16.476287364959717,-0.02264,0.00454,-1.01749
16.676826238632202,-0.02173,0.00171,-1.01573
16.901049375534058,0.01961,0.04862,-1.00955
17.09109926223755,-0.02366,-0.01711,-1.01187
17.29183578491211,0.01159,0.01546,-1.01314
17.499894618988037,0.00937,-0.01042,-1.01643
17.69028663635254,-0.00734,0.01699,-1.0143
17.921688079833984,0.01477,-0.00187,-1.02156
18.09423041343689,-0.01473,0.00576,-1.01483
18.29637742042541,-0.00345,0.0002,-1.0158
18.50301432609558,-0.01675,0.02617,-1.01952
18.711386919021606,0.00589,-0.00027,-1.0097
18.91508173942566,-0.00959,0.01785,-1.0072
19.119423627853397,-0.01524,0.00349,-1.01741
19.32249689102173,0.00548,0.00316,-1.01485
19.51543951034546,0.01458,0.0366,-1.01849
19.739999532699585,0.01135,0.06592,-1.01587
19.92726802825928,0.00117,0.00272,-1.0168
20.14192914962769,-0.01043,0.00984,-1.01588
20.33890032768249,-0.00885,0.01214,-1.01644
20.54112315177917,-0.00699,0.01215,-1.01507
20.74881720542908,-0.00794,0.01166,-1.01643
20.955565452575684,0.21618,0.07941,-1.01945
21.159489393234253,0.13943,0.01191,-1.02024
21.351243257522583,-0.12267,-0.0135,-1.0081
21.556509017944336,-0.09758,-0.00616,-1.02484
21.760289669036865,0.06801,-0.02431,-1.0378
21.95290279388428,0.05978,-0.00344,-1.01809
22.16119766235352,-0.05291,0.02358,-1.04255
22.35209822654724,-0.18919,0.00948,-1.01225
22.57372522354126,-0.05185,0.00596,-1.03291
22.78170919418335,-0.01057,0.01236,-1.01564
22.97417950630188,-0.02488,0.00769,-1.01494
23.183045864105225,-0.00929,0.01139,-1.0155
23.38777089118957,-0.01158,0.01161,-1.01754
23.60204577445984,-0.00155,0.01224,-1.01771
23.802898168563843,0.02941,0.08086,-1.01649
23.998469591140747,0.00472,-0.01619,-1.01575
24.19238376617432,-0.00349,0.02137,-1.02561
24.39943528175354,-0.00173,-0.00366,-1.01378
24.60602617263794,0.00248,0.02721,-1.02109
24.79465246200561,0.00317,0.01521,-1.02061
25.0033495426178,0.00863,0.0107,-1.01983
25.198102235794067,-0.00296,0.01029,-1.01913
25.39890170097351,-0.01596,-0.00425,-1.01982
25.624515533447266,-0.00183,0.02429,-1.01225
25.823464155197144,0.00554,0.01983,-1.01452
26.019944190979004,0.0225,0.02258,-1.01164
26.22193741798401,0.00367,0.0141,-1.01136
26.422017574310303,-0.00135,0.01184,-1.01866
26.63536787033081,0.01304,0.01786,-1.01919
26.840632915496823,0.01361,0.04303,-1.00959
27.04247665405273,0.0013,0.00262,-1.0171
27.234983921051025,-0.00148,0.00544,-1.01774
27.432371854782104,0.00083,0.00615,-1.01636
27.648378133773804,-0.00076,0.00531,-1.01667
