Time,Distance
0.05011630058288574,113.7
0.08046340942382812,113.7
0.11209917068481445,113.7
0.14279985427856445,113.7
0.1745007038116455,113.7
0.20508885383605957,113.7
0.237809419631958,113.7
0.2693593502044678,113.7
0.30010318756103516,113.3
0.33094286918640137,108.2
0.3609428405761719,108.2
0.3916809558868408,105.5
0.4234037399291992,105.5
0.4534575939178467,105.5
0.4852886199951172,102.9
0.5156803131103516,102.9
0.546968936920166,102.9
0.5783605575561523,102.9
0.6095762252807617,102.9
0.6419389247894287,102.9
0.6730585098266602,102.9
0.7034034729003906,100.1
0.7342002391815186,100.1
0.7653899192810059,100.1
0.7968902587890625,96.8
0.8272922039031982,93.5
0.8585827350616455,93.5
0.890007495880127,91.5
0.920973539352417,89.6
0.9511542320251465,88.0
0.9818787574768066,88.0
1.013209581375122,88.0
1.0446248054504395,86.6
1.0759632587432861,85.0
1.1074528694152832,83.9
1.1384568214416504,83.9
1.1687350273132324,83.9
1.2001583576202393,83.9
1.231736660003662,83.9
1.2632362842559814,83.9
1.294564962387085,82.7
1.3246066570281982,82.7
1.3556292057037354,82.7
1.387660264968872,82.7
1.4185588359832764,82.7
1.449472188949585,82.7
1.4804327487945557,82.7
1.5108649730682373,75.0
1.5408241748809814,75.0
1.5720431804656982,75.0
1.6028635501861572,75.0
1.6342566013336182,75.0
1.6647388935089111,75.0
1.6968696117401123,75.0
1.7282350063323975,67.9
1.7594459056854248,64.9
1.7901227474212646,63.400000000000006
1.8206133842468262,63.400000000000006
1.8523569107055664,61.900000000000006
1.8841116428375244,60.400000000000006
1.9143998622894287,60.400000000000006
1.9458119869232178,60.400000000000006
1.9765231609344482,60.400000000000006
2.0081889629364014,60.400000000000006
2.040356397628784,58.8
2.070751667022705,56.0
2.1020114421844482,56.0
2.133251190185547,54.6
2.165280818939209,54.6
2.195727825164795,54.6
2.2273032665252686,53.1
2.2584328651428223,51.7
2.2892508506774902,51.1
2.319251775741577,51.1
2.3494834899902344,51.1
2.380948543548584,51.1
2.4131925106048584,51.1
2.446676731109619,51.1
2.4774105548858643,51.1
2.5082671642303467,51.1
2.538749933242798,46.2
2.570232629776001,41.1
2.601527214050293,39.8
2.725594997406006,39.8
 