Time (s),Distance (cm)
0.2050151824951172,52.2
0.2059953212738037,52.6
0.41036057472229004,40.3
0.425382137298584,28.9
0.6136069297790527,52.6
0.6149377822875977,52.6
0.625328540802002,52.6
0.8201329708099365,48.6
0.8218417167663574,27.0
0.8250746726989746,44.3
1.019805669784546,51.9
1.020806074142456,52.3
1.025805950164795,52.4
1.2329363822937012,52.9
1.2453691959381104,53.0
1.2650127410888672,52.9
1.4334595203399658,53.0
1.638582468032837,53.0
1.6400010585784912,53.1
1.6400010585784912,53.1
1.8425438404083252,53.1
1.8435449600219727,53.1
1.8456058502197266,53.1
2.028303861618042,53.0
2.028303861618042,53.2
2.029594659805298,52.9
2.029594659805298,33.8
2.2523980140686035,32.2
2.2534844875335693,54.1
2.2651076316833496,53.6
2.4573049545288086,53.2
2.4582955837249756,28.0
2.4854044914245605,38.2
2.661721706390381,50.4
2.6629233360290527,52.4
2.6857404708862305,52.6
2.8672468662261963,52.7
2.8672468662261963,52.8
2.8893280029296875,52.8
3.0416903495788574,52.8
3.0416903495788574,53.0
3.0426905155181885,53.1
3.2763867378234863,53.1
3.2773897647857666,53.2
3.2773897647857666,53.2
3.2854559421539307,53.4
3.2854559421539307,53.5
3.4829347133636475,50.6
3.4829347133636475,50.6
3.4839344024658203,53.8
3.687293767929077,53.8
3.7055740356445312,53.6
3.8908493518829346,53.0
3.89227294921875,48.2
4.055827379226685,51.0
4.068053245544434,53.0
4.105863332748413,52.9
4.166144371032715,52.9
4.300343036651611,52.5
4.306344747543335,52.7
4.505718231201172,52.9
4.505718231201172,52.9
4.506776809692383,52.6
4.711421489715576,30.6
4.724924802780151,26.9
4.7469446659088135,52.8
4.914235591888428,52.8
4.915743112564087,52.8
5.065759181976318,53.0
5.085429668426514,40.7
5.0864293575286865,26.8
5.104801893234253,26.8
5.325087547302246,49.9
5.325087547302246,52.0
5.365523338317871,52.1
5.529836416244507,52.3
5.530462980270386,52.1
5.530462980270386,52.1
5.734179735183716,52.3
5.734684705734253,52.5
5.734684705734253,52.4
5.734684705734253,52.4
5.938607931137085,52.4
5.938607931137085,52.7
5.939589500427246,52.5
5.965124607086182,52.6
6.0851051807403564,51.8
6.125308275222778,32.0
6.348649501800537,27.1
6.3693389892578125,52.6
6.385774850845337,52.8
6.5532636642456055,52.9
6.566625595092773,43.7
6.758105516433716,51.5
6.784963369369507,51.6
6.844963312149048,51.4
6.885568141937256,51.1
6.96724009513855,51.2
6.985253572463989,51.4
7.095561981201172,51.9
7.105479717254639,51.9
7.1671130657196045,52.1
7.18583345413208,52.2
7.374547004699707,52.3
7.375613689422607,52.4
7.385655164718628,52.2
7.582154273986816,52.3
7.587038516998291,52.4
7.782121419906616,27.3
7.78575873374939,52.6
7.987617492675781,52.9
7.987617492675781,52.7
7.988452196121216,52.6
8.005593061447144,52.7
8.046021938323975,45.3
8.192232847213745,28.5
8.205278158187866,52.6
8.39759111404419,52.6
8.398526191711426,52.6
8.398526191711426,52.8
8.404924631118774,52.8
8.60086464881897,52.8
8.605582475662231,52.8
8.80863904953003,52.5
8.809442043304443,52.7
8.826058864593506,52.5
9.01071810722351,52.6
9.01071810722351,52.8
9.011740922927856,52.8
9.12583875656128,52.8
9.225549936294556,52.5
9.421399354934692,26.3
9.425913333892822,52.5
9.625129222869873,52.6
9.626129150390625,52.5
9.83069133758545,52.5
9.83069133758545,25.7
9.84604024887085,46.0
9.866063117980957,50.4
10.046003103256226,52.2
10.12988567352295,52.4
10.147488117218018,52.2
10.167005062103271,52.4
10.245128870010376,52.3
10.265825748443604,52.4
10.444388151168823,52.4
10.445389032363892,52.6
10.445389032363892,52.3
10.649412155151367,52.6
10.65042233467102,52.3
10.65042233467102,52.4
10.651709794998169,52.5
10.6856210231781,52.2
10.854614973068237,52.5
11.059648752212524,52.6
11.060657262802124,28.6
11.086420774459839,26.8
11.145864009857178,52.7
11.265583276748657,52.7
11.285375118255615,52.6
11.46963381767273,52.6
11.470833539962769,52.4
11.505597352981567,27.7
11.673917770385742,40.5
11.675898790359497,51.4
11.675898790359497,52.3
11.878791332244873,52.5
11.879791259765625,52.2
11.879791259765625,52.5
11.906432628631592,52.3
12.083381175994873,52.5
12.08437466621399,52.5
12.106277704238892,52.6
12.166641473770142,52.6
12.492104291915894,52.6
12.493332624435425,52.5
12.493332624435425,52.4
12.494327068328857,43.3
12.49532699584961,27.5
12.505213975906372,51.3
12.6985924243927,52.7
12.699894905090332,52.6
12.701232433319092,52.7
12.725444078445435,52.5
12.902806043624878,52.6
12.903785705566406,52.4
12.925855875015259,26.5
13.106765031814575,28.7
13.109853506088257,33.7
13.16863751411438,51.1
13.315279006958008,51.9
13.517029762268066,52.3
13.52601432800293,52.6
13.722671747207642,52.4
13.725778818130493,52.6
13.926653861999512,52.7
13.927832841873169,52.4
13.927832841873169,52.5
13.946202039718628,51.4
13.985809326171875,32.9
14.132795572280884,26.8
14.132795572280884,44.5
14.135126113891602,52.4
14.186419248580933,52.6
14.33995270729065,52.6
14.33995270729065,52.5
14.540560483932495,52.6
14.540560483932495,47.1
14.545711040496826,25.3
14.58489990234375,30.4
14.74677038192749,48.9
14.950091123580933,51.6
14.957700729370117,51.6
14.958758354187012,52.3
15.156521320343018,52.3
15.166142463684082,52.3
15.359902620315552,52.5
15.360909700393677,52.5
15.385660648345947,51.5
15.56876516342163,40.4
15.58511233329773,52.4
15.76993203163147,52.5
15.789515495300293,52.6
15.974918842315674,52.5
15.975943803787231,52.7
15.986045122146606,50.9
16.17967987060547,24.7
16.17967987060547,27.7
16.186140298843384,47.8
16.384171962738037,51.1
16.384171962738037,51.9
16.385830879211426,52.3
16.385830879211426,52.3
16.58833384513855,52.6
16.589333057403564,52.4
16.590330839157104,52.3
16.60606622695923,52.3
16.64529514312744,52.4
16.796388149261475,51.9
16.79793429374695,27.7
16.998198986053467,51.8
16.999807596206665,52.8
16.999807596206665,52.7
17.007032871246338,52.9
17.211763620376587,52.5
17.211763620376587,52.6
17.213269233703613,52.4
17.406944274902344,52.6
17.408552646636963,52.3
17.425106287002563,26.2
17.61273956298828,28.1
17.61273956298828,30.7
17.81753420829773,48.8
17.818517684936523,50.3
17.825507640838623,51.7
18.02281165122986,52.2
18.02281165122986,52.4
18.02281165122986,52.4
18.069993019104004,52.4
18.206071138381958,52.5
18.206071138381958,52.4
18.22615671157837,52.5
18.432077407836914,52.6
18.433170318603516,52.3
18.433170318603516,49.0
18.63690733909607,31.2
18.63690733909607,26.5
18.64622473716736,52.5
18.665473699569702,52.6
18.84192132949829,52.5
19.045987129211426,52.5
19.047384023666382,29.0
19.086150407791138,31.3
19.214688777923584,32.4
19.22566819190979,35.5
19.461042404174805,49.9
19.467167615890503,50.8
19.486308574676514,51.5
19.662054538726807,52.3
19.68522310256958,52.4
19.866602659225464,52.4
19.866602659225464,52.6
19.885864973068237,51.3
20.070244550704956,39.5
20.070244550704956,31.7
20.229580402374268,53.7
20.238105297088623,53.5
20.48065447807312,53.1
20.48065447807312,53.1
20.48563289642334,52.9
20.50549864768982,52.9
20.685819387435913,25.7
20.685819387435913,26.6
20.686816930770874,29.8
20.705296516418457,35.8
20.88878321647644,46.9
20.89616107940674,51.5
20.905145406723022,52.2
21.0942599773407,52.6
21.105965614318848,52.9
21.165514945983887,52.8
21.24148154258728,52.8
21.24576425552368,51.4
21.504335165023804,40.9
21.505396604537964,33.9
21.506054401397705,30.7
21.70898962020874,32.4
21.7266628742218,28.9
21.91379690170288,28.9
21.917580604553223,28.7
21.926013469696045,28.9
22.11864924430847,29.6
22.125860452651978,37.9
22.24565815925598,53.1
22.265630960464478,53.0
22.3260657787323,52.9
22.52932357788086,53.0
22.530466079711914,53.0
22.546403169631958,52.9
22.58731245994568,52.9
22.733914852142334,53.0
22.938295364379883,52.9
22.938295364379883,52.5
22.945772409439087,52.8
23.141814470291138,53.1
23.143067836761475,53.0
23.18617057800293,52.8
23.26653528213501,50.2
23.286765336990356,41.4
23.55219531059265,31.7
23.55326509475708,28.7
23.55326509475708,28.3
23.554263830184937,28.2
23.56599497795105,28.6
23.757787942886353,29.1
23.757787942886353,31.6
23.96221399307251,32.6
23.96404218673706,33.0
23.965054273605347,33.7
24.006495237350464,34.4
24.169776678085327,37.5
24.170754432678223,41.2
24.170754432678223,44.4
24.266704320907593,48.6
24.38745141029358,49.6
24.58159899711609,50.9
24.586594581604004,51.1
24.781217575073242,51.8
24.78668999671936,51.8
24.986265420913696,51.9
24.986265420913696,52.0
24.987262725830078,52.0
25.025187730789185,51.9
25.191852569580078,52.1
25.261353492736816,51.9
25.26553177833557,50.2
25.405805826187134,44.2
25.405805826187134,34.3
25.600146293640137,31.4
25.625436067581177,28.3
25.80445432662964,31.2
25.805450439453125,44.3
25.82491445541382,53.5
26.01192307472229,53.1
26.215275764465332,53.1
26.215275764465332,53.1
26.21645998954773,53.0
26.21645998954773,53.1
26.262450695037842,53.0
26.30543828010559,52.9
26.426684379577637,53.0
26.427728414535522,53.1
26.623814821243286,52.9
26.625271320343018,53.0
26.626330614089966,53.1
26.626330614089966,52.9
26.65217924118042,52.9
26.83000874519348,53.1
26.86600637435913,52.9
27.04019856452942,52.9
27.238625526428223,40.0
27.240058183670044,32.6
27.241062879562378,32.6
27.26555633544922,28.2
27.443708181381226,28.1
27.443708181381226,28.0
27.443708181381226,28.2
27.465558528900146,28.2
27.64854073524475,28.6
27.66612696647644,30.2
27.853528022766113,31.7
27.85446834564209,32.5
27.866147756576538,33.3
28.058821439743042,36.9
28.066082000732422,40.4
28.262710332870483,43.7
28.263805150985718,46.7
28.263805150985718,49.0
28.265846014022827,50.6
28.467700242996216,51.4
28.468700170516968,52.0
28.48607850074768,52.0
28.526564836502075,52.1
28.672401428222656,52.3
28.672401428222656,52.4
28.877958059310913,52.5
28.877958059310913,52.5
28.879301071166992,52.3
28.88641047477722,51.8
29.082162857055664,50.0
29.085214138031006,31.8
29.12549376487732,33.2
29.29599404335022,30.6
29.29699444770813,29.5
29.325994729995728,29.2
29.491297721862793,29.4
29.69628930091858,52.8
29.705777645111084,53.1
29.90025806427002,53.2
29.901312351226807,53.3
29.901312351226807,53.1
29.94580602645874,52.8
